State,Area,Year,unemployment_rate_x,estimated_employed,labour_participation_rate,unemployment_rate_y,per_capita,poverty_rate,literacy_rate,labour_force,youth_unemployment_rate,edu_Certificate Both,edu_Certificate Female,edu_Certificate Male,edu_Diploma Both,edu_Diploma Female,edu_Diploma Male,edu_Grand Total Both,edu_Grand Total Female,edu_Grand Total Male,edu_Integrated Both,edu_Integrated Female,edu_Integrated Male,edu_M.Phil. Both,edu_M.Phil. Female,edu_M.Phil. Male,edu_PG Diploma Both,edu_PG Diploma Female,edu_PG Diploma Male,edu_Ph.D. Both,edu_Ph.D. Female,edu_Ph.D. Male,edu_Post Graduate Both,edu_Post Graduate Female,edu_Post Graduate Male,edu_Under Graduate Both,edu_Under Graduate Female,edu_Under Graduate Male,job_count_total,job_avg_salary_overall
Andhra Pradesh,Rural,2019.0,3.87,12040958.75,43.32375,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Andhra Pradesh,Rural,2020.0,7.734999999999999,11498776.166666666,42.48333333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Andhra Pradesh,Urban,2019.0,5.7837499999999995,4763127.625,36.86625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Andhra Pradesh,Urban,2020.0,14.286666666666667,4148210.1666666665,34.35,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Assam,Rural,2019.0,4.741428571428571,9909392.285714285,48.33857142857143,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Assam,Rural,2020.0,4.140000000000001,9446733.0,45.3,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Assam,Urban,2019.0,7.890000000000001,1657059.125,44.2175,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Assam,Urban,2020.0,8.353333333333333,1561365.3333333333,41.32833333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Bihar,Rural,2019.0,10.97625,23406059.875,38.70125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Bihar,Rural,2020.0,24.495,19760540.0,38.038333333333334,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Bihar,Urban,2019.0,16.78875,3069645.0,38.54875,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Bihar,Urban,2020.0,26.77,2647402.8333333335,37.01333333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Chandigarh,Urban,2019.0,15.822500000000002,320835.25,39.92125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Chandigarh,Urban,2020.0,16.330000000000002,308823.25,38.1675,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Chhattisgarh,Rural,2019.0,6.24125,6659486.625,43.56125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Chhattisgarh,Rural,2020.0,7.1450000000000005,6291281.5,40.95166666666666,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Chhattisgarh,Urban,2019.0,8.4525,2307288.5,46.25625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Chhattisgarh,Urban,2020.0,16.385,1836011.6666666667,39.074999999999996,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Delhi,Rural,2019.0,13.32,157572.625,39.0225,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Delhi,Rural,2020.0,17.843333333333334,135818.16666666666,34.288333333333334,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Delhi,Urban,2019.0,14.18125,5635350.125,43.855000000000004,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Delhi,Urban,2020.0,22.46666666666667,4402011.5,36.88,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Goa,Rural,2019.0,7.42375,172268.75,39.4625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Goa,Rural,2020.0,10.3225,160200.75,37.635,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Goa,Urban,2019.0,11.26875,281523.375,39.910000000000004,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Goa,Urban,2020.0,7.9375,290065.0,39.1175,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Gujarat,Rural,2019.0,4.4087499999999995,13807921.125,52.03375,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Gujarat,Rural,2020.0,7.928333333333334,12451856.833333334,48.068333333333335,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Gujarat,Urban,2019.0,5.55,10005099.625,43.33,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Gujarat,Urban,2020.0,9.891666666666667,9006841.833333334,39.91833333333333,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Haryana,Rural,2019.0,21.4325,4848158.25,45.177499999999995,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Haryana,Rural,2020.0,29.786666666666665,4385271.166666667,45.278333333333336,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Haryana,Urban,2019.0,24.165,2614769.5,41.23875,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Haryana,Urban,2020.0,32.071666666666665,2263830.0,38.94,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Himachal Pradesh,Rural,2019.0,17.29625,1977863.0,44.45125,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Himachal Pradesh,Rural,2020.0,13.115,1790036.8333333333,38.330000000000005,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Himachal Pradesh,Urban,2019.0,20.8325,238672.5,49.44,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Himachal Pradesh,Urban,2020.0,22.56833333333333,200426.5,42.85166666666667,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Jammu and Kashmir,Rural,2019.0,13.976666666666667,2523368.8333333335,41.373333333333335,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Jammu and Kashmir,Rural,2020.0,16.122,2332894.4,38.654,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Jammu and Kashmir,Urban,2019.0,18.30666666666667,1153114.8333333333,44.66166666666667,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Jammu and Kashmir,Urban,2020.0,16.4125,1018797.75,38.0425,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Jharkhand,Rural,2019.0,9.315,7217967.25,40.69625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Jharkhand,Rural,2020.0,23.096666666666668,6154863.0,39.839999999999996,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Jharkhand,Urban,2019.0,19.1525,2379150.375,43.53,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Jharkhand,Urban,2020.0,35.01,1905435.5,42.321666666666665,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Karnataka,Rural,2019.0,3.0325,12811872.0,41.46875,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Karnataka,Rural,2020.0,12.813333333333333,12483215.0,44.40166666666667,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Karnataka,Urban,2019.0,3.445,8688295.0,39.2,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Karnataka,Urban,2020.0,9.705,8629785.666666666,40.985,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Kerala,Rural,2019.0,7.645,5153982.25,38.18625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Kerala,Rural,2020.0,13.936666666666667,4026455.8333333335,31.888333333333332,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Kerala,Urban,2019.0,6.6175,4453293.75,35.511250000000004,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
